times,urls
2010-05-14T06:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/05/AFTmap_20100514_0600.h5
2010-05-14T12:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/05/AFTmap_20100514_1200.h5
2010-05-14T18:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/05/AFTmap_20100514_1800.h5
2010-05-15T00:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/05/AFTmap_20100515_0000.h5
2010-05-15T06:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/05/AFTmap_20100515_0600.h5
2010-05-15T12:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/05/AFTmap_20100515_1200.h5
2010-05-15T18:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/05/AFTmap_20100515_1800.h5
2010-05-16T00:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/05/AFTmap_20100516_0000.h5
2010-05-16T06:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/05/AFTmap_20100516_0600.h5
2010-05-16T12:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/05/AFTmap_20100516_1200.h5
2010-05-16T18:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/05/AFTmap_20100516_1800.h5
2010-05-17T00:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/05/AFTmap_20100517_0000.h5
2010-05-17T06:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/05/AFTmap_20100517_0600.h5
2010-05-17T12:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/05/AFTmap_20100517_1200.h5
2010-05-17T18:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/05/AFTmap_20100517_1800.h5
2010-05-18T00:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/05/AFTmap_20100518_0000.h5
2010-05-18T06:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/05/AFTmap_20100518_0600.h5
2010-05-18T12:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/05/AFTmap_20100518_1200.h5
2010-05-18T18:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/05/AFTmap_20100518_1800.h5
2010-05-19T00:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/05/AFTmap_20100519_0000.h5
2010-05-19T06:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/05/AFTmap_20100519_0600.h5
2010-05-19T12:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/05/AFTmap_20100519_1200.h5
2010-05-19T18:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/05/AFTmap_20100519_1800.h5
2010-05-20T00:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/05/AFTmap_20100520_0000.h5
2010-05-20T06:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/05/AFTmap_20100520_0600.h5
2010-05-20T12:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/05/AFTmap_20100520_1200.h5
2010-05-20T18:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/05/AFTmap_20100520_1800.h5
2010-05-21T00:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/05/AFTmap_20100521_0000.h5
2010-05-21T06:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/05/AFTmap_20100521_0600.h5
2010-05-21T12:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/05/AFTmap_20100521_1200.h5
2010-05-21T18:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/05/AFTmap_20100521_1800.h5
2010-05-22T00:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/05/AFTmap_20100522_0000.h5
2010-05-22T06:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/05/AFTmap_20100522_0600.h5
2010-05-22T12:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/05/AFTmap_20100522_1200.h5
2010-05-22T18:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/05/AFTmap_20100522_1800.h5
2010-05-23T00:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/05/AFTmap_20100523_0000.h5
2010-05-23T06:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/05/AFTmap_20100523_0600.h5
2010-05-23T12:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/05/AFTmap_20100523_1200.h5
2010-05-23T18:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/05/AFTmap_20100523_1800.h5
2010-05-24T00:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/05/AFTmap_20100524_0000.h5
2010-05-24T06:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/05/AFTmap_20100524_0600.h5
2010-05-24T12:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/05/AFTmap_20100524_1200.h5
2010-05-24T18:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/05/AFTmap_20100524_1800.h5
2010-05-25T00:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/05/AFTmap_20100525_0000.h5
2010-05-25T06:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/05/AFTmap_20100525_0600.h5
